plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1037,52878,508,0.086489,1.611294E-5,0,GALAXY,1237663543150379378,NONLEGACY,4207,301,3,238,370,22.085484,20.899576,20.527794,20.196129,19.659084,20.427074,19.29611,18.661879,18.269907,18.027117
1900,53262,265,-1.006892E-4,8.512347E-6,0,STAR,1237663543150444754,NONLEGACY,4207,301,3,239,210,18.129822,16.716879,16.137611,15.92505,15.807449,18.196552,16.78105,16.191938,15.981598,15.88826
378,52146,277,0.058005,8.207793E-6,0,GALAXY,1237663543150510444,GALAXY,4207,301,3,240,364,22.371441,20.87154,20.690781,20.27454,19.86685,19.124693,18.299002,17.63629,17.367805,17.463474
1101,52621,554,0.149946,1.278905E-5,0,GALAXY,1237663543687250109,NONLEGACY,4207,301,4,238,189,21.490261,20.367952,19.909784,19.529356,19.077915,19.589098,18.551197,17.907598,17.56332,17.389482
377,52145,585,0.160891,4.370785E-5,0,GALAXY,1237663543687315608,GALAXY,4207,301,4,239,152,22.501015,20.298239,19.247602,18.733475,18.196218,19.906906,18.422094,17.367867,16.939583,16.725451
377,52145,151,0.058102,6.973489E-6,0,GALAXY,1237663478724690380,GALAXY,4192,301,3,220,460,21.007975,19.88974,19.610222,19.406569,19.120739,18.819326,17.8776,17.502422,17.237154,17.126326
1900,53262,309,-2.046224E-5,1.019444E-5,0,STAR,1237663478724755738,NONLEGACY,4192,301,3,221,282,17.210066,16.122089,15.740729,15.608029,15.570539,17.281351,16.162104,15.798157,15.671437,15.625
377,52145,160,0.116951,1.011851E-5,0,GALAXY,1237663478724755848,QSO,4192,301,3,221,392,21.485399,20.57049,20.118616,19.717878,19.447412,19.967978,18.968956,18.37686,18.037107,17.86528
1901,53261,317,-8.966877E-5,9.646398E-6,0,STAR,1237663478724755901,NONLEGACY,4192,301,3,221,445,21.593479,19.409533,18.417582,18.052549,17.83456,21.79163,19.450722,18.457151,18.067331,17.782139
377,52145,148,0.08748,1.349973E-5,0,GALAXY,1237663478724756002,GALAXY,4192,301,3,221,546,22.296759,20.986231,20.608234,20.28842,20.016453,19.105824,18.129412,17.619751,17.276421,17.287144
